lat;lon;validdate;t_2m:C;precip_1h:mm;wind_speed_10m:ms
-24.2;-47.2;2025-10-01T00:00:00Z;16.7;0.00;0.5
-24.2;-47.2;2025-10-01T01:00:00Z;16.8;0.00;2.2
-24.2;-47.2;2025-10-01T02:00:00Z;17.0;0.00;3.2
-24.2;-47.2;2025-10-01T03:00:00Z;17.9;0.00;3.2
-24.2;-47.2;2025-10-01T04:00:00Z;18.2;0.00;2.3
-24.2;-47.2;2025-10-01T05:00:00Z;18.1;0.00;1.4
-24.2;-47.2;2025-10-01T06:00:00Z;18.0;0.00;1.1
-24.2;-47.2;2025-10-01T07:00:00Z;18.0;0.00;0.9
-24.2;-47.2;2025-10-01T08:00:00Z;18.3;0.00;0.8
-24.2;-47.2;2025-10-01T09:00:00Z;18.4;0.00;0.7
-24.2;-47.2;2025-10-01T10:00:00Z;18.7;0.00;1.6
-24.2;-47.2;2025-10-01T11:00:00Z;19.0;0.00;1.5
-24.2;-47.2;2025-10-01T12:00:00Z;19.5;0.00;1.8
-24.2;-47.2;2025-10-01T13:00:00Z;21.1;0.00;1.6
-24.2;-47.2;2025-10-01T14:00:00Z;21.5;0.11;2.0
-24.2;-47.2;2025-10-01T15:00:00Z;22.6;0.00;2.1
-24.2;-47.2;2025-10-01T16:00:00Z;23.6;0.00;2.9
-24.2;-47.2;2025-10-01T17:00:00Z;24.3;0.00;2.6
-24.2;-47.2;2025-10-01T18:00:00Z;25.4;0.00;2.0
-24.2;-47.2;2025-10-01T19:00:00Z;24.1;0.00;2.4
-24.2;-47.2;2025-10-01T20:00:00Z;22.7;0.00;2.2
-24.2;-47.2;2025-10-01T21:00:00Z;20.6;0.00;1.6
-24.2;-47.2;2025-10-01T22:00:00Z;19.7;0.19;1.0
-24.2;-47.2;2025-10-01T23:00:00Z;19.2;0.32;0.4
-24.2;-47.2;2025-10-02T00:00:00Z;19.1;0.26;0.6
-24.2;-47.15;2025-10-01T00:00:00Z;16.7;0.00;1.3
-24.2;-47.15;2025-10-01T01:00:00Z;16.9;0.00;2.2
-24.2;-47.15;2025-10-01T02:00:00Z;16.5;0.00;4.7
-24.2;-47.15;2025-10-01T03:00:00Z;16.8;0.00;4.5
-24.2;-47.15;2025-10-01T04:00:00Z;17.2;0.00;3.2
-24.2;-47.15;2025-10-01T05:00:00Z;17.1;0.00;2.1
-24.2;-47.15;2025-10-01T06:00:00Z;17.1;0.00;1.4
-24.2;-47.15;2025-10-01T07:00:00Z;17.1;0.00;1.1
-24.2;-47.15;2025-10-01T08:00:00Z;17.4;0.00;1.0
-24.2;-47.15;2025-10-01T09:00:00Z;17.6;0.00;1.0
-24.2;-47.15;2025-10-01T10:00:00Z;18.0;0.00;1.9
-24.2;-47.15;2025-10-01T11:00:00Z;18.2;0.00;1.7
-24.2;-47.15;2025-10-01T12:00:00Z;18.9;0.00;2.0
-24.2;-47.15;2025-10-01T13:00:00Z;20.2;0.11;1.8
-24.2;-47.15;2025-10-01T14:00:00Z;21.2;0.13;2.0
-24.2;-47.15;2025-10-01T15:00:00Z;22.1;0.00;2.2
-24.2;-47.15;2025-10-01T16:00:00Z;23.4;0.00;2.8
-24.2;-47.15;2025-10-01T17:00:00Z;23.8;0.00;2.5
-24.2;-47.15;2025-10-01T18:00:00Z;24.6;0.00;2.0
-24.2;-47.15;2025-10-01T19:00:00Z;22.9;0.00;2.5
-24.2;-47.15;2025-10-01T20:00:00Z;21.4;0.00;2.4
-24.2;-47.15;2025-10-01T21:00:00Z;19.4;0.00;2.0
-24.2;-47.15;2025-10-01T22:00:00Z;18.4;0.11;1.5
-24.2;-47.15;2025-10-01T23:00:00Z;17.8;0.32;0.7
-24.2;-47.15;2025-10-02T00:00:00Z;17.9;0.27;0.7
-24.2;-47.1;2025-10-01T00:00:00Z;16.3;0.00;0.5
-24.2;-47.1;2025-10-01T01:00:00Z;16.9;0.00;2.6
-24.2;-47.1;2025-10-01T02:00:00Z;17.0;0.00;3.3
-24.2;-47.1;2025-10-01T03:00:00Z;17.5;0.00;3.0
-24.2;-47.1;2025-10-01T04:00:00Z;18.1;0.00;2.0
-24.2;-47.1;2025-10-01T05:00:00Z;18.1;0.00;1.5
-24.2;-47.1;2025-10-01T06:00:00Z;18.0;0.00;1.3
-24.2;-47.1;2025-10-01T07:00:00Z;18.0;0.00;1.1
-24.2;-47.1;2025-10-01T08:00:00Z;18.2;0.00;0.9
-24.2;-47.1;2025-10-01T09:00:00Z;18.3;0.00;1.0
